num_critic_for_reviews,duration,final_budget,imdb_score, Black and White,Color,director_firstclass,director_secondclass,director_thirdclass,director_unknown
723.0,178.0,237000000.0,7.9,0,1,0,1,0,0
302.0,169.0,300000000.0,7.1,0,1,0,1,0,0
602.0,148.0,245000000.0,6.8,0,1,0,1,0,0
813.0,164.0,250000000.0,8.5,0,1,0,0,1,0
448.0,103.0,9673194.22796,7.1,1,0,0,0,1,0
462.0,132.0,212500000.0,6.6,0,1,0,0,1,0
392.0,156.0,258000000.0,6.2,0,1,0,1,0,0
324.0,148.0,260000000.0,7.8,0,1,0,0,1,0
635.0,141.0,250000000.0,7.5,0,1,0,1,0,0
375.0,153.0,212500000.0,7.5,0,1,0,0,1,0
673.0,183.0,250000000.0,6.9,0,1,0,1,0,0
434.0,169.0,209000000.0,6.1,0,1,0,0,1,0
403.0,106.0,200000000.0,6.7,0,1,0,0,1,0
313.0,151.0,225000000.0,7.3,1,0,0,1,0,0
450.0,148.0,215000000.0,6.5,0,1,0,1,0,0
448.0,143.0,225000000.0,7.2,0,1,0,1,0,0
258.0,150.0,225000000.0,6.6,0,1,0,0,1,0
703.0,173.0,220000000.0,8.1,0,1,0,1,0,0
448.0,136.0,250000000.0,6.7,0,1,0,0,1,0
451.0,106.0,225000000.0,6.8,0,1,0,0,1,0
422.0,164.0,250000000.0,7.5,1,0,0,1,0,0
599.0,153.0,212500000.0,7.0,0,1,0,1,0,0
343.0,156.0,200000000.0,6.7,0,1,0,0,1,0
509.0,186.0,225000000.0,7.9,0,1,0,1,0,0
251.0,113.0,180000000.0,6.1,0,1,0,0,1,0
448.0,201.0,207000000.0,7.2,0,1,0,1,0,0
315.0,194.0,200000000.0,7.7,0,1,0,1,0,0
516.0,147.0,212500000.0,8.2,0,1,0,0,1,0
377.0,131.0,209000000.0,5.9,0,1,0,0,1,0
644.0,124.0,150000000.0,7.0,1,0,0,0,1,0
448.0,143.0,200000000.0,7.8,0,1,0,1,0,0
300.0,135.0,200000000.0,7.3,0,1,0,1,0,0
608.0,195.0,200000000.0,7.2,0,1,0,0,1,0
451.0,108.0,200000000.0,6.5,0,1,0,0,1,0
334.0,104.0,210000000.0,6.8,0,1,0,0,1,0
376.0,104.0,200000000.0,7.3,1,0,0,0,1,0
366.0,150.0,200000000.0,6.0,0,1,0,1,0,0
378.0,165.0,212500000.0,5.7,1,0,0,1,0,0
525.0,130.0,215000000.0,6.4,0,1,0,1,0,0
495.0,142.0,200000000.0,6.7,0,1,0,1,0,0
469.0,125.0,170000000.0,6.8,0,1,0,0,1,0
